>HMT-748_16S000001 HMT-748 Campylobacter rectus
>HMT-707_16S001683 HMT-707 Streptococcus oralis
>HMT-071_16S001684 HMT-071 Streptococcus oralis
>HMT-831_16S001685 HMT-831 Alloiococcus otitis
>HMT-677_16S001686 HMT-677 Streptococcus mitis
>HMT-758_16S001687 HMT-758 Streptococcus sanguinis
>HMT-638_16S001688 HMT-638 Streptococcus infantis
>HMT-578_16S001689 HMT-578 Streptococcus cristatus
>HMT-071_16S001690 HMT-071 Streptococcus oralis
>HMT-411_16S001691 HMT-411 Streptococcus parasanguinis
>HMT-071_16S001692 HMT-071 Streptococcus oralis
>HMT-638_16S001693 HMT-638 Streptococcus infantis
>HMT-432_16S001694 HMT-432 Treponema vincentii
>HMT-120_16S001695 HMT-120 Staphylococcus haemolyticus
>HMT-456_16S001696 HMT-456 Streptococcus koreensis
>HMT-241_16S001697 HMT-241 Brochothrix thermosphacta
>HMT-120_16S001698 HMT-120 Staphylococcus haemolyticus
>HMT-638_16S001699 HMT-638 Streptococcus infantis
>HMT-071_16S001700 HMT-071 Streptococcus oralis
>HMT-831_16S001701 HMT-831 Alloiococcus otitis
>HMT-071_16S001702 HMT-071 Streptococcus oralis
>HMT-411_16S001703 HMT-411 Streptococcus parasanguinis
>HMT-415_16S001704 HMT-415 Streptococcus rubneri
>HMT-948_16S001705 HMT-948 Streptococcus lactarius
>HMT-073_16S001706 HMT-073 Streptococcus australis
>HMT-398_16S001707 HMT-398 Streptococcus oralis
>HMT-411_16S001708 HMT-411 Streptococcus parasanguinis
>HMT-073_16S001709 HMT-073 Streptococcus australis
>HMT-707_16S001710 HMT-707 Streptococcus oralis
>HMT-415_16S001711 HMT-415 Streptococcus rubneri
>HMT-241_16S001712 HMT-241 Brochothrix thermosphacta
>HMT-707_16S001714 HMT-707 Streptococcus oralis
>HMT-241_16S001715 HMT-241 Brochothrix thermosphacta
>HMT-411_16S001716 HMT-411 Streptococcus parasanguinis
>HMT-758_16S001717 HMT-758 Streptococcus sanguinis
>HMT-601_16S001718 HMT-601 Staphylococcus epidermidis
>HMT-071_16S001719 HMT-071 Streptococcus oralis
>HMT-411_16S001720 HMT-411 Streptococcus parasanguinis
>HMT-456_16S001721 HMT-456 Streptococcus koreensis
>HMT-638_16S001722 HMT-638 Streptococcus infantis
>HMT-537_16S001723 HMT-537 Streptococcus agalactiae
>HMT-073_16S001724 HMT-073 Streptococcus australis
>HMT-707_16S001725 HMT-707 Streptococcus oralis
>HMT-736_16S001726 HMT-736 Dialister pneumosintes
>HMT-825_16S001727 HMT-825 Listeria monocytogenes
>HMT-745_16S001728 HMT-745 Streptococcus pyogenes
>HMT-831_16S001729 HMT-831 Alloiococcus otitis
>HMT-071_16S001730 HMT-071 Streptococcus oralis
>HMT-073_16S001731 HMT-073 Streptococcus australis
>HMT-071_16S001732 HMT-071 Streptococcus oralis
>HMT-456_16S001733 HMT-456 Streptococcus koreensis
>HMT-707_16S001734 HMT-707 Streptococcus oralis
>HMT-073_16S001735 HMT-073 Streptococcus australis
>HMT-456_16S001736 HMT-456 Streptococcus koreensis
>HMT-677_16S001737 HMT-677 Streptococcus mitis
>HMT-071_16S001738 HMT-071 Streptococcus oralis
>HMT-758_16S001739 HMT-758 Streptococcus sanguinis
>HMT-601_16S001740 HMT-601 Staphylococcus epidermidis
>HMT-120_16S001741 HMT-120 Staphylococcus haemolyticus
>HMT-061_16S001742 HMT-061 Streptococcus infantis
>HMT-758_16S001743 HMT-758 Streptococcus sanguinis
>HMT-073_16S001744 HMT-073 Streptococcus australis
>HMT-071_16S001745 HMT-071 Streptococcus oralis
>HMT-120_16S001746 HMT-120 Staphylococcus haemolyticus
>HMT-071_16S001747 HMT-071 Streptococcus oralis
>HMT-241_16S001748 HMT-241 Brochothrix thermosphacta
>HMT-071_16S001749 HMT-071 Streptococcus oralis
>HMT-537_16S001750 HMT-537 Streptococcus agalactiae
>HMT-638_16S001751 HMT-638 Streptococcus infantis
>HMT-071_16S001752 HMT-071 Streptococcus oralis
>HMT-707_16S001753 HMT-707 Streptococcus oralis
>HMT-638_16S001754 HMT-638 Streptococcus infantis
>HMT-071_16S001755 HMT-071 Streptococcus oralis
>HMT-073_16S001756 HMT-073 Streptococcus australis
>HMT-456_16S001757 HMT-456 Streptococcus koreensis
>HMT-071_16S001758 HMT-071 Streptococcus oralis
>HMT-241_16S001759 HMT-241 Brochothrix thermosphacta
>HMT-071_16S001760 HMT-071 Streptococcus oralis
>HMT-638_16S001761 HMT-638 Streptococcus infantis
>HMT-241_16S001762 HMT-241 Brochothrix thermosphacta
>HMT-071_16S001763 HMT-071 Streptococcus oralis
>HMT-537_16S001764 HMT-537 Streptococcus agalactiae
>HMT-456_16S001765 HMT-456 Streptococcus koreensis
>HMT-677_16S001766 HMT-677 Streptococcus mitis
>HMT-707_16S001767 HMT-707 Streptococcus oralis
>HMT-707_16S001768 HMT-707 Streptococcus oralis
>HMT-456_16S001769 HMT-456 Streptococcus koreensis
>HMT-755_16S001770 HMT-755 Streptococcus salivarius
>HMT-468_16S001771 HMT-468 Bacillus subtilis
>HMT-241_16S001772 HMT-241 Brochothrix thermosphacta
>HMT-241_16S001773 HMT-241 Brochothrix thermosphacta
>HMT-073_16S001774 HMT-073 Streptococcus australis
>HMT-707_16S001775 HMT-707 Streptococcus oralis
>HMT-638_16S001776 HMT-638 Streptococcus infantis
>HMT-241_16S001777 HMT-241 Brochothrix thermosphacta
>HMT-073_16S001778 HMT-073 Streptococcus australis
>HMT-758_16S001779 HMT-758 Streptococcus sanguinis
>HMT-745_16S001780 HMT-745 Streptococcus pyogenes
>HMT-241_16S001781 HMT-241 Brochothrix thermosphacta
>HMT-456_16S001782 HMT-456 Streptococcus koreensis
>HMT-948_16S001783 HMT-948 Streptococcus lactarius
>HMT-758_16S001784 HMT-758 Streptococcus sanguinis
>HMT-794_16S001785 HMT-794 Hallella multisaccharivorax
>HMT-805_16S001786 HMT-805 Treponema pallidum
>HMT-638_16S001787 HMT-638 Streptococcus infantis
>HMT-073_16S001789 HMT-073 Streptococcus australis
>HMT-073_16S001790 HMT-073 Streptococcus australis
>HMT-071_16S001791 HMT-071 Streptococcus oralis
>HMT-073_16S001792 HMT-073 Streptococcus australis
>HMT-116_16S001793 HMT-116 Staphylococcus capitis
>HMT-758_16S001794 HMT-758 Streptococcus sanguinis
>HMT-071_16S001795 HMT-071 Streptococcus oralis
>HMT-456_16S001797 HMT-456 Streptococcus koreensis
>HMT-073_16S001798 HMT-073 Streptococcus australis
>HMT-734_16S001799 HMT-734 Streptococcus pneumoniae
>HMT-241_16S001800 HMT-241 Brochothrix thermosphacta
>HMT-071_16S001801 HMT-071 Streptococcus oralis
>HMT-758_16S001802 HMT-758 Streptococcus sanguinis
>HMT-758_16S001803 HMT-758 Streptococcus sanguinis
>HMT-758_16S001804 HMT-758 Streptococcus sanguinis
>HMT-707_16S001805 HMT-707 Streptococcus oralis
>HMT-071_16S001806 HMT-071 Streptococcus oralis
>HMT-073_16S001807 HMT-073 Streptococcus australis
>HMT-071_16S001808 HMT-071 Streptococcus oralis
>HMT-071_16S001809 HMT-071 Streptococcus oralis
>HMT-116_16S001810 HMT-116 Staphylococcus capitis
>HMT-415_16S001811 HMT-415 Streptococcus rubneri
>HMT-707_16S001812 HMT-707 Streptococcus oralis
>HMT-071_16S001813 HMT-071 Streptococcus oralis
>HMT-758_16S001814 HMT-758 Streptococcus sanguinis
>HMT-071_16S001815 HMT-071 Streptococcus oralis
>HMT-831_16S001816 HMT-831 Alloiococcus otitis
>HMT-734_16S001817 HMT-734 Streptococcus pneumoniae
>HMT-021_16S001818 HMT-021 Streptococcus vestibularis
>HMT-073_16S001819 HMT-073 Streptococcus australis
>HMT-411_16S001820 HMT-411 Streptococcus parasanguinis
>HMT-411_16S001821 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001822 HMT-425 Streptococcus pseudopneumoniae
>HMT-425_16S001823 HMT-425 Streptococcus pseudopneumoniae
>HMT-152_16S001824 HMT-152 Streptococcus thermophilus
>HMT-425_16S001825 HMT-425 Streptococcus pseudopneumoniae
>HMT-758_16S001826 HMT-758 Streptococcus sanguinis
>HMT-653_16S001827 HMT-653 Treponema lecithinolyticum
>HMT-425_16S001828 HMT-425 Streptococcus pseudopneumoniae
>HMT-707_16S001829 HMT-707 Streptococcus oralis
>HMT-677_16S001830 HMT-677 Streptococcus mitis
>HMT-411_16S001831 HMT-411 Streptococcus parasanguinis
>HMT-734_16S001832 HMT-734 Streptococcus pneumoniae
>HMT-178_16S001833 HMT-178 Schaalia hongkongensis
>HMT-550_16S001834 HMT-550 Staphylococcus aureus
>HMT-411_16S001835 HMT-411 Streptococcus parasanguinis
>HMT-677_16S001836 HMT-677 Streptococcus mitis
>HMT-734_16S001837 HMT-734 Streptococcus pneumoniae
>HMT-638_16S001838 HMT-638 Streptococcus infantis
>HMT-734_16S001839 HMT-734 Streptococcus pneumoniae
>HMT-677_16S001840 HMT-677 Streptococcus mitis
>HMT-677_16S001841 HMT-677 Streptococcus mitis
>HMT-056_16S001842 HMT-056 Streptococcus sp. HMT-056
>HMT-431_16S001843 HMT-431 Streptococcus infantis
>HMT-152_16S001844 HMT-152 Streptococcus thermophilus
>HMT-071_16S001845 HMT-071 Streptococcus oralis
>HMT-411_16S001846 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001847 HMT-425 Streptococcus pseudopneumoniae
>HMT-411_16S001848 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001849 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S001850 HMT-677 Streptococcus mitis
>HMT-456_16S001851 HMT-456 Streptococcus koreensis
>HMT-425_16S001852 HMT-425 Streptococcus pseudopneumoniae
>HMT-578_16S001853 HMT-578 Streptococcus cristatus
>HMT-755_16S001854 HMT-755 Streptococcus salivarius
>HMT-724_16S001855 HMT-724 Treponema parvum
>HMT-677_16S001857 HMT-677 Streptococcus mitis
>HMT-021_16S001858 HMT-021 Streptococcus vestibularis
>HMT-638_16S001859 HMT-638 Streptococcus infantis
>HMT-425_16S001860 HMT-425 Streptococcus pseudopneumoniae
>HMT-425_16S001861 HMT-425 Streptococcus pseudopneumoniae
>HMT-444_16S001862 HMT-444 Streptococcus infantis
>HMT-758_16S001863 HMT-758 Streptococcus sanguinis
>HMT-537_16S001864 HMT-537 Streptococcus agalactiae
>HMT-120_16S001865 HMT-120 Staphylococcus haemolyticus
>HMT-071_16S001866 HMT-071 Streptococcus oralis
>HMT-677_16S001867 HMT-677 Streptococcus mitis
>HMT-425_16S001868 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S001869 HMT-677 Streptococcus mitis
>HMT-755_16S001870 HMT-755 Streptococcus salivarius
>HMT-755_16S001871 HMT-755 Streptococcus salivarius
>HMT-176_16S001872 HMT-176 Actinomyces naeslundii
>HMT-755_16S001873 HMT-755 Streptococcus salivarius
>HMT-537_16S001874 HMT-537 Streptococcus agalactiae
>HMT-425_16S001875 HMT-425 Streptococcus pseudopneumoniae
>HMT-425_16S001876 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S001877 HMT-677 Streptococcus mitis
>HMT-677_16S001878 HMT-677 Streptococcus mitis
>HMT-152_16S001879 HMT-152 Streptococcus thermophilus
>HMT-734_16S001880 HMT-734 Streptococcus pneumoniae
>HMT-758_16S001881 HMT-758 Streptococcus sanguinis
>HMT-677_16S001882 HMT-677 Streptococcus mitis
>HMT-425_16S001883 HMT-425 Streptococcus pseudopneumoniae
>HMT-415_16S001884 HMT-415 Streptococcus rubneri
>HMT-677_16S001885 HMT-677 Streptococcus mitis
>HMT-677_16S001886 HMT-677 Streptococcus mitis
>HMT-897_16S001887 HMT-897 Actinomyces sp. HMT-897
>HMT-677_16S001888 HMT-677 Streptococcus mitis
>HMT-425_16S001889 HMT-425 Streptococcus pseudopneumoniae
>HMT-758_16S001890 HMT-758 Streptococcus sanguinis
>HMT-758_16S001891 HMT-758 Streptococcus sanguinis
>HMT-755_16S001892 HMT-755 Streptococcus salivarius
>HMT-578_16S001893 HMT-578 Streptococcus cristatus
>HMT-707_16S001894 HMT-707 Streptococcus oralis
>HMT-755_16S001895 HMT-755 Streptococcus salivarius
>HMT-707_16S001896 HMT-707 Streptococcus oralis
>HMT-758_16S001897 HMT-758 Streptococcus sanguinis
>HMT-578_16S001898 HMT-578 Streptococcus cristatus
>HMT-411_16S001899 HMT-411 Streptococcus parasanguinis
>HMT-578_16S001900 HMT-578 Streptococcus cristatus
>HMT-749_16S001901 HMT-749 Lacticaseibacillus rhamnosus
>HMT-398_16S001902 HMT-398 Streptococcus oralis
>HMT-638_16S001903 HMT-638 Streptococcus infantis
>HMT-411_16S001904 HMT-411 Streptococcus parasanguinis
>HMT-120_16S001905 HMT-120 Staphylococcus haemolyticus
>HMT-677_16S001906 HMT-677 Streptococcus mitis
>HMT-677_16S001907 HMT-677 Streptococcus mitis
>HMT-061_16S001908 HMT-061 Streptococcus infantis
>HMT-755_16S001909 HMT-755 Streptococcus salivarius
>HMT-677_16S001910 HMT-677 Streptococcus mitis
>HMT-071_16S001911 HMT-071 Streptococcus oralis
>HMT-755_16S001912 HMT-755 Streptococcus salivarius
>HMT-734_16S001913 HMT-734 Streptococcus pneumoniae
>HMT-425_16S001914 HMT-425 Streptococcus pseudopneumoniae
>HMT-758_16S001915 HMT-758 Streptococcus sanguinis
>HMT-118_16S001916 HMT-118 Dialister invisus
>HMT-411_16S001917 HMT-411 Streptococcus parasanguinis
>HMT-755_16S001918 HMT-755 Streptococcus salivarius
>HMT-734_16S001919 HMT-734 Streptococcus pneumoniae
>HMT-021_16S001920 HMT-021 Streptococcus vestibularis
>HMT-677_16S001921 HMT-677 Streptococcus mitis
>HMT-758_16S001922 HMT-758 Streptococcus sanguinis
>HMT-578_16S001923 HMT-578 Streptococcus cristatus
>HMT-758_16S001924 HMT-758 Streptococcus sanguinis
>HMT-804_16S001925 HMT-804 Lactococcus lactis
>HMT-120_16S001926 HMT-120 Staphylococcus haemolyticus
>HMT-122_16S001927 HMT-122 Megasphaera micronuciformis
>HMT-638_16S001928 HMT-638 Streptococcus infantis
>HMT-411_16S001929 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001930 HMT-425 Streptococcus pseudopneumoniae
>HMT-745_16S001931 HMT-745 Streptococcus pyogenes
>HMT-758_16S001932 HMT-758 Streptococcus sanguinis
>HMT-425_16S001933 HMT-425 Streptococcus pseudopneumoniae
>HMT-073_16S001934 HMT-073 Streptococcus australis
>HMT-444_16S001935 HMT-444 Streptococcus infantis
>HMT-758_16S001936 HMT-758 Streptococcus sanguinis
>HMT-677_16S001937 HMT-677 Streptococcus mitis
>HMT-677_16S001938 HMT-677 Streptococcus mitis
>HMT-021_16S001939 HMT-021 Streptococcus vestibularis
>HMT-755_16S001940 HMT-755 Streptococcus salivarius
>HMT-677_16S001941 HMT-677 Streptococcus mitis
>HMT-758_16S001942 HMT-758 Streptococcus sanguinis
>HMT-411_16S001943 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001944 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S001945 HMT-677 Streptococcus mitis
>HMT-638_16S001946 HMT-638 Streptococcus infantis
>HMT-578_16S001947 HMT-578 Streptococcus cristatus
>HMT-677_16S001948 HMT-677 Streptococcus mitis
>HMT-056_16S001949 HMT-056 Streptococcus sp. HMT-056
>HMT-758_16S001950 HMT-758 Streptococcus sanguinis
>HMT-758_16S001951 HMT-758 Streptococcus sanguinis
>HMT-537_16S001952 HMT-537 Streptococcus agalactiae
>HMT-804_16S001953 HMT-804 Lactococcus lactis
>HMT-578_16S001954 HMT-578 Streptococcus cristatus
>HMT-136_16S001955 HMT-136 Selenomonas felix
>HMT-122_16S001956 HMT-122 Megasphaera micronuciformis
>HMT-415_16S001957 HMT-415 Streptococcus rubneri
>HMT-758_16S001958 HMT-758 Streptococcus sanguinis
>HMT-677_16S001959 HMT-677 Streptococcus mitis
>HMT-638_16S001960 HMT-638 Streptococcus infantis
>HMT-537_16S001961 HMT-537 Streptococcus agalactiae
>HMT-832_16S001962 HMT-832 Corynebacterium otitidis
>HMT-755_16S001963 HMT-755 Streptococcus salivarius
>HMT-755_16S001964 HMT-755 Streptococcus salivarius
>HMT-758_16S001965 HMT-758 Streptococcus sanguinis
>HMT-116_16S001966 HMT-116 Staphylococcus capitis
>HMT-411_16S001967 HMT-411 Streptococcus parasanguinis
>HMT-677_16S001968 HMT-677 Streptococcus mitis
>HMT-743_16S001969 HMT-743 Treponema putidum
>HMT-707_16S001970 HMT-707 Streptococcus oralis
>HMT-411_16S001971 HMT-411 Streptococcus parasanguinis
>HMT-425_16S001972 HMT-425 Streptococcus pseudopneumoniae
>HMT-578_16S001973 HMT-578 Streptococcus cristatus
>HMT-707_16S001974 HMT-707 Streptococcus oralis
>HMT-734_16S001975 HMT-734 Streptococcus pneumoniae
>HMT-707_16S001976 HMT-707 Streptococcus oralis
>HMT-021_16S001977 HMT-021 Streptococcus vestibularis
>HMT-578_16S001978 HMT-578 Streptococcus cristatus
>HMT-425_16S001979 HMT-425 Streptococcus pseudopneumoniae
>HMT-734_16S001980 HMT-734 Streptococcus pneumoniae
>HMT-411_16S001981 HMT-411 Streptococcus parasanguinis
>HMT-578_16S001982 HMT-578 Streptococcus cristatus
>HMT-537_16S001983 HMT-537 Streptococcus agalactiae
>HMT-578_16S001984 HMT-578 Streptococcus cristatus
>HMT-435_16S001985 HMT-435 Syntrophomonadaceae [G1] bacterium HMT-435
>HMT-431_16S001986 HMT-431 Streptococcus infantis
>HMT-398_16S001987 HMT-398 Streptococcus oralis
>HMT-734_16S001988 HMT-734 Streptococcus pneumoniae
>HMT-707_16S001989 HMT-707 Streptococcus oralis
>HMT-037_16S001990 HMT-037 Stenotrophomonas nitritireducens
>HMT-734_16S001991 HMT-734 Streptococcus pneumoniae
>HMT-734_16S001992 HMT-734 Streptococcus pneumoniae
>HMT-707_16S001993 HMT-707 Streptococcus oralis
>HMT-663_16S001994 HMT-663 Stenotrophomonas maltophilia
>HMT-425_16S001995 HMT-425 Streptococcus pseudopneumoniae
>HMT-578_16S001996 HMT-578 Streptococcus cristatus
>HMT-677_16S001997 HMT-677 Streptococcus mitis
>HMT-578_16S001998 HMT-578 Streptococcus cristatus
>HMT-893_16S001999 HMT-893 Actinomyces oris
>HMT-677_16S002000 HMT-677 Streptococcus mitis
>HMT-707_16S002001 HMT-707 Streptococcus oralis
>HMT-677_16S002002 HMT-677 Streptococcus mitis
>HMT-677_16S002003 HMT-677 Streptococcus mitis
>HMT-425_16S002004 HMT-425 Streptococcus pseudopneumoniae
>HMT-156_16S002005 HMT-156 Veillonella nakazawae
>HMT-578_16S002006 HMT-578 Streptococcus cristatus
>HMT-734_16S002007 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002008 HMT-707 Streptococcus oralis
>HMT-123_16S002009 HMT-123 Anaeroglobus massiliensis
>HMT-707_16S002010 HMT-707 Streptococcus oralis
>HMT-121_16S002011 HMT-121 Anaeroglobus geminatus
>HMT-076_16S002012 HMT-076 Staphylococcus warneri
>HMT-578_16S002013 HMT-578 Streptococcus cristatus
>HMT-707_16S002014 HMT-707 Streptococcus oralis
>HMT-056_16S002015 HMT-056 Streptococcus sp. HMT-056
>HMT-431_16S002016 HMT-431 Streptococcus infantis
>HMT-734_16S002017 HMT-734 Streptococcus pneumoniae
>HMT-431_16S002018 HMT-431 Streptococcus infantis
>HMT-398_16S002019 HMT-398 Streptococcus oralis
>HMT-425_16S002020 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S002021 HMT-677 Streptococcus mitis
>HMT-677_16S002022 HMT-677 Streptococcus mitis
>HMT-707_16S002023 HMT-707 Streptococcus oralis
>HMT-398_16S002024 HMT-398 Streptococcus oralis
>HMT-118_16S002025 HMT-118 Dialister invisus
>HMT-677_16S002026 HMT-677 Streptococcus mitis
>HMT-707_16S002027 HMT-707 Streptococcus oralis
>HMT-569_16S002029 HMT-569 Eggerthia catenaformis
>HMT-444_16S002030 HMT-444 Streptococcus infantis
>HMT-431_16S002031 HMT-431 Streptococcus infantis
>HMT-537_16S002032 HMT-537 Streptococcus agalactiae
>HMT-398_16S002033 HMT-398 Streptococcus oralis
>HMT-734_16S002034 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002035 HMT-707 Streptococcus oralis
>HMT-411_16S002036 HMT-411 Streptococcus parasanguinis
>HMT-425_16S002037 HMT-425 Streptococcus pseudopneumoniae
>HMT-743_16S002038 HMT-743 Treponema putidum
>HMT-578_16S002039 HMT-578 Streptococcus cristatus
>HMT-578_16S002040 HMT-578 Streptococcus cristatus
>HMT-734_16S002041 HMT-734 Streptococcus pneumoniae
>HMT-677_16S002042 HMT-677 Streptococcus mitis
>HMT-578_16S002043 HMT-578 Streptococcus cristatus
>HMT-431_16S002044 HMT-431 Streptococcus infantis
>HMT-444_16S002045 HMT-444 Streptococcus infantis
>HMT-734_16S002046 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002047 HMT-734 Streptococcus pneumoniae
>HMT-398_16S002048 HMT-398 Streptococcus oralis
>HMT-734_16S002049 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002050 HMT-734 Streptococcus pneumoniae
>HMT-677_16S002051 HMT-677 Streptococcus mitis
>HMT-578_16S002052 HMT-578 Streptococcus cristatus
>HMT-677_16S002053 HMT-677 Streptococcus mitis
>HMT-663_16S002054 HMT-663 Stenotrophomonas maltophilia
>HMT-734_16S002055 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002056 HMT-707 Streptococcus oralis
>HMT-677_16S002057 HMT-677 Streptococcus mitis
>HMT-707_16S002058 HMT-707 Streptococcus oralis
>HMT-578_16S002059 HMT-578 Streptococcus cristatus
>HMT-734_16S002060 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002061 HMT-707 Streptococcus oralis
>HMT-578_16S002062 HMT-578 Streptococcus cristatus
>HMT-578_16S002063 HMT-578 Streptococcus cristatus
>HMT-677_16S002064 HMT-677 Streptococcus mitis
>HMT-707_16S002065 HMT-707 Streptococcus oralis
>HMT-897_16S002066 HMT-897 Actinomyces sp. HMT-897
>HMT-677_16S002067 HMT-677 Streptococcus mitis
>HMT-707_16S002068 HMT-707 Streptococcus oralis
>HMT-983_16S002069 HMT-983 Melioribacter roseus
>HMT-734_16S002070 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002071 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002072 HMT-707 Streptococcus oralis
>HMT-663_16S002073 HMT-663 Stenotrophomonas maltophilia
>HMT-758_16S002074 HMT-758 Streptococcus sanguinis
>HMT-664_16S002075 HMT-664 Treponema maltophilum
>HMT-677_16S002076 HMT-677 Streptococcus mitis
>HMT-707_16S002077 HMT-707 Streptococcus oralis
>HMT-578_16S002078 HMT-578 Streptococcus cristatus
>HMT-734_16S002079 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002080 HMT-707 Streptococcus oralis
>HMT-677_16S002081 HMT-677 Streptococcus mitis
>HMT-677_16S002082 HMT-677 Streptococcus mitis
>HMT-707_16S002083 HMT-707 Streptococcus oralis
>HMT-578_16S002084 HMT-578 Streptococcus cristatus
>HMT-707_16S002085 HMT-707 Streptococcus oralis
>HMT-707_16S002086 HMT-707 Streptococcus oralis
>HMT-677_16S002087 HMT-677 Streptococcus mitis
>HMT-398_16S002088 HMT-398 Streptococcus oralis
>HMT-734_16S002089 HMT-734 Streptococcus pneumoniae
>HMT-677_16S002090 HMT-677 Streptococcus mitis
>HMT-123_16S002091 HMT-123 Anaeroglobus massiliensis
>HMT-707_16S002092 HMT-707 Streptococcus oralis
>HMT-734_16S002093 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002094 HMT-707 Streptococcus oralis
>HMT-071_16S002095 HMT-071 Streptococcus oralis
>HMT-398_16S002096 HMT-398 Streptococcus oralis
>HMT-734_16S002097 HMT-734 Streptococcus pneumoniae
>HMT-071_16S002098 HMT-071 Streptococcus oralis
>HMT-663_16S002099 HMT-663 Stenotrophomonas maltophilia
>HMT-578_16S002100 HMT-578 Streptococcus cristatus
>HMT-119_16S002101 HMT-119 Dialister sp. HMT-119
>HMT-677_16S002102 HMT-677 Streptococcus mitis
>HMT-398_16S002103 HMT-398 Streptococcus oralis
>HMT-734_16S002104 HMT-734 Streptococcus pneumoniae
>HMT-584_16S002105 HMT-584 Treponema denticola
>HMT-734_16S002106 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002107 HMT-734 Streptococcus pneumoniae
>HMT-584_16S002108 HMT-584 Treponema denticola
>HMT-734_16S002109 HMT-734 Streptococcus pneumoniae
>HMT-537_16S002110 HMT-537 Streptococcus agalactiae
>HMT-813_16S002111 HMT-813 Dolosigranulum pigrum
>HMT-734_16S002112 HMT-734 Streptococcus pneumoniae
>HMT-823_16S002113 HMT-823 Mycobacterium leprae
>HMT-734_16S002114 HMT-734 Streptococcus pneumoniae
>HMT-707_16S002115 HMT-707 Streptococcus oralis
>HMT-124_16S002116 HMT-124 Selenomonas artemidis
>HMT-734_16S002117 HMT-734 Streptococcus pneumoniae
>HMT-677_16S002118 HMT-677 Streptococcus mitis
>HMT-127_16S002119 HMT-127 Staphylococcus hominis
>HMT-893_16S002120 HMT-893 Actinomyces oris
>HMT-813_16S002121 HMT-813 Dolosigranulum pigrum
>HMT-584_16S002122 HMT-584 Treponema denticola
>HMT-677_16S002123 HMT-677 Streptococcus mitis
>HMT-707_16S002124 HMT-707 Streptococcus oralis
>HMT-707_16S002125 HMT-707 Streptococcus oralis
>HMT-595_16S002126 HMT-595 Corynebacterium durum
>HMT-411_16S002127 HMT-411 Streptococcus parasanguinis
>HMT-425_16S002128 HMT-425 Streptococcus pseudopneumoniae
>HMT-677_16S002129 HMT-677 Streptococcus mitis
>HMT-734_16S002130 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002131 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002132 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002133 HMT-734 Streptococcus pneumoniae
>HMT-649_16S002134 HMT-649 Neisseria lactamica
>HMT-813_16S002135 HMT-813 Dolosigranulum pigrum
>HMT-058_16S002136 HMT-058 Streptococcus sp. HMT-058
>HMT-677_16S002137 HMT-677 Streptococcus mitis
>HMT-724_16S002138 HMT-724 Treponema parvum
>HMT-677_16S002139 HMT-677 Streptococcus mitis
>HMT-677_16S002140 HMT-677 Streptococcus mitis
>HMT-707_16S002141 HMT-707 Streptococcus oralis
>HMT-734_16S002142 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002143 HMT-734 Streptococcus pneumoniae
>HMT-425_16S002144 HMT-425 Streptococcus pseudopneumoniae
>HMT-425_16S002145 HMT-425 Streptococcus pseudopneumoniae
>HMT-813_16S002146 HMT-813 Dolosigranulum pigrum
>HMT-734_16S002147 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002148 HMT-734 Streptococcus pneumoniae
>HMT-584_16S002149 HMT-584 Treponema denticola
>HMT-677_16S002150 HMT-677 Streptococcus mitis
>HMT-425_16S002151 HMT-425 Streptococcus pseudopneumoniae
>HMT-813_16S002152 HMT-813 Dolosigranulum pigrum
>HMT-425_16S002153 HMT-425 Streptococcus pseudopneumoniae
>HMT-076_16S002154 HMT-076 Staphylococcus warneri
>HMT-734_16S002155 HMT-734 Streptococcus pneumoniae
>HMT-734_16S002156 HMT-734 Streptococcus pneumoniae
>HMT-425_16S002157 HMT-425 Streptococcus pseudopneumoniae
>HMT-734_16S002158 HMT-734 Streptococcus pneumoniae
>HMT-076_16S002159 HMT-076 Staphylococcus warneri
>HMT-677_16S002160 HMT-677 Streptococcus mitis
